Name,Orientation,Forward count,Reverse count
A14565.8.1539,forward,8,0
A97104.7.1522,forward,8,0
AAAA02016423.840.2312,forward,8,0
AAAA02020715.1.1464,forward,8,0
AAAA02049656.53.1599,forward,8,0
AAAL02000003.178628.180172,forward,8,0
AABF01000111.2354.3854,forward,8,0
AACV01034775.315.1804,forward,8,0
AACY020015340.1.1237,forward,6,0
AACY020025522.1002.2471,forward,8,0
AACY020070845.141.1475,forward,8,0
AACY020095396.2822.4298,forward,8,0
AACY020108912.397.1908,forward,8,0
AACY020139537.1276.2781,forward,8,0
AACY020167649.1.1223,forward,8,0
AACY020173194.1168.2611,forward,8,0
AACY020206946.1642.2941,forward,8,0
AACY020259437.2015.3524,forward,8,0
AACY020292476.373.1749,forward,8,0
AACY020311045.179.1707,forward,8,0
AACY020323954.4416.5934,forward,8,0
AACY020359284.2911.4401,forward,8,0
AACY020393406.361.1873,forward,8,0
AACY020457088.592.1829,forward,6,0
AACY020461836.2827.4055,forward,6,0
AACY020472779.1140.2605,forward,8,0
AACY020481209.265.1729,forward,8,0
AACY020483146.1.1328,forward,7,0
AACY020497081.1461.2810,forward,7,0
AACY020507622.3.1355,forward,8,0
AACY020518301.1113.2537,forward,8,0
AACY020530876.1585.3041,forward,8,0
AACY020534669.81.1556,forward,8,0
AACY020561185.46.1569,forward,8,0
AACY020563592.255.1778,forward,8,0
AACY023232909.87.1397,forward,7,0
AACY023259616.3.1397,forward,8,0
AACY023308763.8.1372,forward,8,0
AACY023352623.1.1465,forward,8,0
AACY023371713.1.1319,forward,7,0
AACY023382402.1.1310,forward,7,0
AACY023390641.255.1519,forward,8,0
AACY023411744.110.1524,forward,8,0
AACY023421318.14.1403,forward,8,0
AACY023449578.1.1393,forward,8,0
AACY023479089.1.1255,forward,7,0
AACY023493876.111.1462,forward,8,0
AACY023520589.1.1335,forward,8,0
AACY023524552.82.1567,forward,8,0
AACY023702037.3.1295,forward,8,0
AACY023776576.240.1550,forward,7,0
AACY023854707.11.1476,forward,8,0
AACY023866126.3.1208,forward,8,0
AACY023884129.1.1269,forward,7,0
AACY023921011.1.1223,forward,6,0
AACY023933827.22.1488,forward,8,0
AACY023936572.27.1482,forward,8,0
AACY023938188.20.1536,forward,8,0
AACY023939069.20.1525,forward,8,0
AACY023964065.124.1576,forward,8,0
AACY024057770.1.1461,forward,8,0
AADL01000473.2440.4015,forward,8,0
AADP01000002.92420.93950,forward,8,0
AADR01000125.1676.3186,forward,8,0
AAEK01000059.5028.6570,forward,8,0
AAEN01000023.31148.32690,forward,8,0
AAEO01000030.21283.22825,forward,8,0
AAEP01000038.1791.3333,forward,8,0
AAEQ01000004.77.1288,forward,8,0
AAES01000037.1284.2826,forward,8,0
AAFJ01000001.39328.40836,forward,8,0
AAFL01000009.36153.37665,forward,8,0
AAHN02000045.260.1779,forward,8,0
AAHV02000017.112564.114083,forward,8,0
AAIR02000007.115332.116851,forward,8,0
AAJO01000018.19844.21350,forward,8,0
