Name,Orientation,Forward count,Reverse count
AAHN02000051.2372.5796,reverse,0,32
AAJU02000038.1231.4154,reverse,0,32
AAYT01000010.68194.71099,reverse,0,32
AAYV01000014.110325.113231,reverse,0,32
AB035921.2904.5808,reverse,0,32
AB537929.1.2901,reverse,0,32
ABAM02000001.3206277.3209181,reverse,0,32
ABCZ02000007.4827.7746,reverse,0,32
ABDN02000008.36713.39632,reverse,0,32
ABDN02000008.59985.62904,reverse,0,32
ABDP01000012.42.2931,forward,32,0
ABDV01000036.40.2942,forward,32,0
ABDX01000022.28.2921,forward,32,0
ABGG01000010.2075.4974,forward,32,0
ABGG01000012.36828.39716,forward,32,0
ABGH01000008.94172.97061,forward,32,0
ABHU01000059.199.3101,forward,32,0
ABKY02000001.1778916.1781820,forward,32,0
ABKY02000001.2019591.2022495,forward,32,0
ABQM01000001.11709.14634,forward,32,0
ABXM01000012.191088.193913,forward,30,0
ACFO01000016.2321.5209,forward,32,0
ACHV01000001.1449024.1451910,forward,32,0
ACJB01000072.145.3064,forward,32,0
ADAF01000001.1631.4517,forward,32,0
ADAF01000001.2523514.2526400,forward,32,0
ADAK01000017.926.3812,forward,32,0
ADVL01000363.379.3113,forward,30,0
AE005672.1971038.1973927,forward,32,0
AE017262.2621787.2624718,forward,32,0
AF269719.477.3396,forward,32,0
AJ294421.1.2909,forward,32,0
AJ295300.1.2915,forward,32,0
AJ306887.1.2914,forward,32,0
AM180355.3149330.3152282,forward,32,0
AM933173.4246636.4249622,forward,32,0
AM946016.18924.21828,forward,32,0
AM990992.610356.613266,forward,32,0
AP009324.2302287.2305209,forward,32,0
AP009324.578173.581095,forward,32,0
AX415067.262337.265256,forward,32,0
AY224381.2668.5593,forward,32,0
BA000032.135166.138056,forward,32,0
BA000043.2942418.2945347,forward,32,0
BA000043.521910.524837,forward,32,0
BABM01000001.1997926.2000836,forward,32,0
BX571856.561991.564913,forward,32,0
CP000024.19638.22535,forward,32,0
CP000034.3206319.3209220,forward,32,0
CP000038.2872615.2875518,forward,32,0
CP000086.3328292.3331172,forward,32,0
CP000155.6369448.6372338,forward,32,0
CP000253.495018.497940,forward,32,0
CP000255.514809.517731,forward,32,0
CP000259.1568486.1571384,forward,32,0
CP000266.3826834.3829737,forward,32,0
CP000312.109600.112493,forward,32,0
CP000312.119375.122277,forward,32,0
CP000425.2277913.2280813,forward,32,0
CP000446.4672350.4675242,forward,32,0
CP000462.3951807.3954702,forward,32,0
CP000469.52805.55697,forward,32,0
CP000507.4277413.4280326,forward,32,0
CP000507.57960.60873,forward,32,0
CP000557.152129.155057,forward,32,0
CP000614.568057.570938,forward,32,0
CP000627.2482010.2484896,forward,32,0
CP000727.50191.53092,forward,32,0
CP000744.809091.811981,forward,32,0
CP000800.4505647.4508570,forward,32,0
CP000802.225139.228041,forward,32,0
CP000886.3525836.3528745,forward,32,0
CP000934.1062041.1064930,forward,32,0
CP000948.2816068.2818971,forward,32,0
CP000962.58798.61699,forward,32,0
CP000970.4554549.4557452,forward,32,0
CP001050.1956488.1959377,forward,32,0
CP001083.72144.75045,forward,32,0
CP001127.3465121.3468025,forward,32,0
CP001602.265925.268855,forward,32,0
CP001604.2753962.2756892,forward,32,0
CP001607.1916735.1919629,forward,32,0
CP001805.478875.481763,forward,32,0
CP001875.236914.239818,forward,32,0
CP001903.4719656.4722575,forward,32,0
CP001969.3024072.3026975,forward,32,0
CU928145.4421386.4424288,forward,32,0
CU928145.4599881.4602784,forward,32,0
CU928160.2793337.2796240,forward,32,0
DD001172.2462.5351,forward,32,0
DL081578.210982.213901,forward,32,0
DM055038.2180.5081,forward,32,0
EA414766.322.3229,forward,32,0
FM178379.475688.478578,forward,32,0
FN257753.1.2914,forward,32,0
FN597254.251864.254760,forward,32,0
FN668941.3952839.3955724,forward,32,0
FV536115.11000.13890,forward,32,0
L42023.1816845.1819741,forward,32,0
X87294.1.2888,forward,32,0
